No.,구분 (Class),세부 의도 (Category),사용자 발화 (Utterance),[GT] 정답,[M1] Flash 예측,[M1] 속도(ms),[M1] 판정,[M2] KcElec 예측,[M2] 속도(ms),[M2] 판정,[M3] Pro 예측,[M3] 속도(ms),[M3] 판정,비고 (Notes)
1,처리 대상,상품 위치,건전지 어디에 있어?,Y,Y,936,O,Y,801,O,Y,5421,O,
2,처리 대상,상품 위치,욕실 슬리퍼 위치 좀 알려줘.,Y,Y,651,O,Y,965,O,Y,5602,O,
3,처리 대상,매장 운영,지금 다이소 열었나요? 영업 시간 알려주세요.,Y,Y,733,O,Y,1023,O,Y,4577,O,
4,처리 대상,재고 문의,AA 건전지 재고 남아있어?,Y,Y,632,O,Y,1022,O,Y,5022,O,
5,처리 대상,시설/주차,혹시 여기 주차권 주나요?,Y,Y,652,O,Y,930,O,Y,4817,O,
6,처리 대상,시설/화장실,화장실 비밀번호가 뭐야?,Y,Y,622,O,Y,957,O,Y,4562,O,
7,처리 대상,상품 추천,캠핑 가는데 쓸만한 그릴 추천해줘.,Y,Y,633,O,Y,1067,O,Y,4436,O,
8,처리 대상,상품 위치,아이폰 충전 케이블 찾고 있는데 어디로 가야 해?,Y,Y,716,O,Y,1104,O,Y,4055,O,
9,처리 대상,상품 종류,전자레인지 용기 종류 뭐 있어?,Y,Y,712,O,Y,1228,O,Y,5126,O,
10,처리 대상,시설/편의,이 매장에 엘리베이터 있어?,Y,Y,1275,O,Y,979,O,Y,6055,O,
11,처리 대상,상품 위치,마스킹 테이프 종류 많은 곳이 어디야?,Y,Y,805,O,Y,1052,O,Y,4445,O,
12,처리 대상,상품 추천,5000원 이하로 살 수 있는 집들이 선물 추천해줘.,Y,Y,731,O,Y,1194,O,Y,4364,O,
13,처리 대상,기타 서비스,바구니 사이즈 좀 재보고 싶은데 줄자 있어?,Y,Y,720,O,Y,1194,O,Y,5214,O,
14,처리 대상,멤버십/적립,포인트 적립은 어떻게 해?,Y,Y,621,O,Y,1175,O,Y,4726,O,
15,처리 대상,시설/위치,셀프 계산대는 어디에 있어?,Y,Y,723,O,Y,1133,O,Y,6097,O,
16,처리 대상,재고/가격,물티슈 1000원짜리 있어?,Y,Y,820,O,Y,1264,O,Y,5799,O,
17,처리 대상,재고 문의,뜨개질 실 색깔 뭐뭐 남았어?,Y,Y,624,O,Y,1243,O,Y,4350,O,
18,처리 대상,상품 위치,강아지 장난감 코너는 몇 층이야?,Y,Y,722,O,Y,1320,O,Y,4903,O,
19,처리 대상,재고/대량구매,옷걸이 대량으로 사고 싶은데 박스로 있어?,Y,Y,621,O,Y,1251,O,Y,5028,O,
20,처리 대상,멤버십/가입,다이소 멤버십 가입하려면 어떻게 해야 돼?,Y,Y,812,O,Y,1265,O,Y,4839,O,
21,처리 대상,상품 위치,식물 영양제 파는 곳 알려줘.,Y,Y,702,O,Y,1275,O,Y,5208,O,
22,처리 대상,시설/편의,매장 안에 현금 인출기 있어?,Y,Y,649,O,Y,1168,O,Y,4255,O,
23,처리 대상,상품 위치,선물 포장지랑 리본 찾고 있어.,Y,Y,720,O,Y,1239,O,Y,4664,O,
24,처리 대상,매장 정책,여기서 봉투값 따로 받아?,Y,Y,710,O,N,1219,X,Y,4621,O,
25,처리 대상,상품 위치,텀블러 세척 솔 어디 있어?,Y,Y,822,O,Y,968,O,Y,4831,O,
26,처리 대상,재고 문의,네임펜 검은색 재고 있어?,Y,Y,630,O,Y,1080,O,Y,4267,O,
27,처리 대상,상품 추천,벽에 구멍 안 뚫고 붙이는 후크 추천 좀.,Y,Y,734,O,Y,1077,O,Y,4838,O,
28,처리 대상,상품 위치,여행용 공병 세트 찾는데 안 보여.,Y,Y,817,O,Y,1110,O,Y,4738,O,
29,처리 대상,직원 호출,혹시 직원 불러줄 수 있어?,Y,Y,718,O,Y,1268,O,Y,4636,O,
30,처리 대상,결제 수단,다이소 상품권 사용 가능한 매장이야?,Y,Y,610,O,N,1187,X,Y,5367,O,
31,처리 대상,상품 종류,커터칼 심만 따로 팔아?,Y,Y,708,O,N,1030,X,Y,5993,O,
32,처리 대상,상품 종류,습기 제거제 용량 큰 거 있어?,Y,Y,636,O,Y,1263,O,Y,4750,O,
33,처리 대상,상품 추천,자취생한테 필요한 주방용품 추천해줘.,Y,Y,730,O,Y,1292,O,Y,5121,O,
34,처리 대상,상품 위치,아이들 학용품 세트 어디에 있어?,Y,Y,804,O,Y,1187,O,Y,4745,O,
35,처리 대상,상품 추천,스마트폰 거치대 튼튼한 거로 추천해줘.,Y,Y,720,O,Y,1131,O,Y,5499,O,
36,처리 대상,시설/안내,매장에 분실물 보관하는 곳 있어?,Y,Y,729,O,Y,1307,O,Y,5012,O,
37,처리 대상,시설/편의,우산 비닐 씌우는 기계 어디 있어?,Y,Y,720,O,Y,1221,O,Y,4654,O,
38,처리 대상,시설/편의,쇼핑 카트는 어디서 가져와?,Y,Y,702,O,N,1238,X,Y,4733,O,
39,처리 대상,재고/신상품,2026년 다이어리 벌써 나왔어?,Y,Y,630,O,N,1207,X,Y,5303,O,
40,처리 대상,상품 위치,크리스마스 트리 장식품 모아둔 곳 알려줘.,Y,Y,635,O,Y,1221,O,Y,6168,O,
41,처리 대상,상품 종류,배수구 망 사이즈별로 다 있어?,Y,Y,624,O,Y,1192,O,Y,4930,O,
42,처리 대상,상품 위치,층간소음 방지 패드 찾고 있어?,Y,Y,617,O,Y,1120,O,Y,5779,O,
43,처리 대상,교환/환불,교환이나 환불은 어디서 해?,Y,Y,725,O,Y,1250,O,Y,5243,O,
44,처리 대상,기타 서비스,영수증 재발급 받을 수 있어?,Y,Y,801,O,Y,1171,O,Y,5000,O,
45,처리 대상,상품 위치,과자랑 젤리 파는 식품 코너는 어디야?,Y,Y,684,O,Y,1246,O,Y,5584,O,
46,처리 대상,매장 정보,매장 전화번호 좀 알 수 있을까?,Y,Y,691,O,N,1145,X,Y,5230,O,
47,처리 대상,상품 사용법,압축팩 청소기로 빨아들이는 거 맞아?,Y,Y,817,O,Y,1258,O,Y,7221,O,
48,처리 대상,재고 문의,고무장갑 M사이즈 재고 확인 좀 해줘.,Y,Y,729,O,Y,1137,O,Y,5090,O,
49,처리 대상,기타 서비스,접시 깨지지 않게 포장할 신문지 있어?,Y,Y,715,O,Y,1194,O,Y,4638,O,
50,처리 대상,상품 종류,페인트 붓이랑 롤러 세트로 팔아?,Y,Y,619,O,N,1248,X,Y,5107,O,
51,처리 불가,일상 대화,오늘 날씨 어때?,N,N,829,O,Y,1147,X,N,4356,O,
52,처리 불가,일상 대화,너 이름이 뭐야?,N,N,709,O,N,1247,O,N,4544,O,
53,처리 불가,타사/무관,배고픈데 근처 맛집 추천해줘.,N,N,711,O,Y,1277,X,N,5588,O,
54,처리 불가,타사/무관,비트코인 지금 얼마야?,N,N,615,O,Y,1029,X,N,4054,O,
55,처리 불가,욕설/비속어,야 이 멍청한 기계야.,N,N,717,O,N,914,O,N,4935,O,
56,처리 불가,타사/무관,스타벅스 커피 마시고 싶다.,N,N,719,O,Y,1045,X,N,5200,O,
57,처리 불가,타사/무관,여기서 이마트까지 얼마나 걸려?,N,N,717,O,N,1163,O,N,6147,O,
58,처리 불가,정치/사회,윤석열 대통령에 대해 어떻게 생각해?,N,N,721,O,Y,1234,X,N,5216,O,
59,처리 불가,감정/일상,나 오늘 기분이 너무 우울해.,N,N,717,O,N,1263,O,N,4246,O,
60,처리 불가,일상 대화,심심한데 농담이나 해봐.,N,N,633,O,N,1205,O,N,4348,O,
61,처리 불가,무의미,1+1=2 맞지?,N,N,608,O,N,1118,O,N,5907,O,
62,처리 불가,욕설/비속어,꺼져.,N,N,615,O,N,1190,O,N,5858,O,
63,처리 불가,일상 대화,너 MBTI가 뭐야?,N,N,807,O,N,1286,O,N,5397,O,
64,처리 불가,기능 미지원,아이유 노래 틀어줘.,N,N,710,O,Y,1216,X,N,5124,O,
65,처리 불가,타사/무관,내일 주식 시장 열려?,N,N,630,O,N,1223,O,N,4739,O,
66,처리 불가,타사/무관,근처 약국 문 열었니?,N,N,632,O,N,1143,O,N,4236,O,
67,처리 불가,감정 표출,아 진짜 짜증나네.,N,N,721,O,N,1129,O,N,5037,O,
68,처리 불가,정치/사회,독도는 누구 땅이야?,N,N,726,O,Y,1135,X,N,5112,O,
69,처리 불가,타사/무관,넷플릭스 요즘 볼만한 거 있어?,N,N,797,O,N,1089,O,N,4807,O,
70,처리 불가,일상 대화,너는 꿈이 있니?,N,N,626,O,N,1155,O,N,5100,O,
71,처리 불가,타사/무관,올리브영 세일 언제 해?,N,N,722,O,N,1158,O,N,4733,O,
72,처리 불가,타사/무관,버스 정류장 어디야?,N,N,717,O,Y,1139,X,N,5315,O,
73,처리 불가,기능 미지원,택시 좀 불러줘.,N,N,637,O,Y,1127,X,N,4768,O,
74,처리 불가,일상 대화,사랑해.,N,N,720,O,Y,924,X,N,5746,O,
75,처리 불가,철학/일상,인생이란 뭘까?,N,N,714,O,N,979,O,N,4975,O,
76,처리 불가,단순 인사,안녕하세요.,N,N,631,O,Y,898,X,N,4914,O,
77,처리 불가,무의미,어? 아? 음...,N,N,718,O,N,1041,O,N,4639,O,
78,처리 불가,호통,야!,N,N,718,O,N,1072,O,N,5802,O,
79,처리 불가,타사 비교,쿠팡에서 이거 더 싸게 팔던데.,N,N,622,O,N,1088,O,N,6643,O,
80,처리 불가,타사/무관,로또 번호 좀 찍어줘.,N,N,622,O,Y,1116,X,N,3977,O,
81,처리 불가,일상 대화,나 머리 잘랐는데 어때?,N,N,627,O,Y,1134,X,N,5763,O,
82,처리 불가,타사/무관,편의점에서 담배 팔아?,N,N,627,O,N,1104,O,N,4942,O,
83,처리 불가,길찾기/무관,여기서 서울역 가는 길 알려줘.,N,N,633,O,Y,973,X,N,5200,O,
84,처리 불가,욕설/비속어,미친 거 아니야?,N,N,620,O,N,921,O,N,6065,O,
85,처리 불가,일상 대화,공부하기 싫다.,N,N,743,O,Y,971,X,N,5191,O,
86,처리 불가,일상 대화,너 주인 누구야?,N,N,650,O,N,1090,O,N,4709,O,
87,처리 불가,타사/무관,삼성전자 주가 전망 알려줘.,N,N,749,O,N,1069,O,N,4244,O,
88,처리 불가,타사/무관,축구 경기 결과 어떻게 됐어?,N,N,633,O,Y,1110,X,N,5104,O,
89,처리 불가,일상 대화,나랑 결혼할래?,N,N,753,O,Y,1190,X,N,5032,O,
90,처리 불가,단순 불만,화장실 더러워서 못 쓰겠네.,N,Y,742,X,Y,1245,X,Y,7596,X,
91,처리 불가,일상/신변,아 배 아파.,N,N,639,O,Y,1162,X,N,6555,O,
92,처리 불가,호출(내용없음),저기요.,N,N,739,O,Y,1201,X,Y,4548,X,
93,처리 불가,무의미/소음,으아아아아악!,N,N,646,O,N,1239,O,N,5030,O,
94,처리 불가,타사/무관,맥도날드 햄버거 가격 알려줘.,N,N,638,O,Y,1261,X,N,4293,O,
95,처리 불가,일상 대화,너 전기로 돌아가?,N,N,639,O,N,1263,O,N,5572,O,
96,처리 불가,명령/비속어,시끄러워 조용히 해.,N,N,749,O,Y,1190,X,N,5119,O,
97,처리 불가,타사/무관,방탄 지민 생일이 언제야?,N,N,651,O,Y,1199,X,N,4525,O,
98,처리 불가,시설/무관(정책따라다름),여기 와이파이 비번 뭐야?,N,Y,736,X,Y,1185,X,Y,5190,X,
99,처리 불가,단순 불만,쓰레기통이 꽉 찼네 더러워 죽겠어.,N,N,726,O,Y,1226,X,N,7011,O,
100,처리 불가,무음/공백,,N,,,,,,Error,,,,
